"Work_Geo_Short" "Res_Geo_Short" "Year" "Total" "Drove.alone" "X2.person.carpool" "X3.person.carpool" "X4.person.carpool" "X5.or.6.person.carpool" "X7.or.more.person.carpool" "Bus" "Streetcar.or.trolley" "Subway" "Railroad" "Ferry" "Bicycle" "Walked" "Taxi" "Motorcycle" "Other" "Worked.at.home" "Source" "src" "dst"
"Alpine" "El Dorado" 2016 120 45 40 15 0 15 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 9 2
"Alpine" "Alpine" 2016 225 115 4 10 0 0 0 0 0 0 0 0 0 30 0 0 0 65 "CTPP_A302103_5YR_2016" 2 2
"Amador" "Contra Costa" 2016 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 7 3
"Amador" "Butte" 2016 4 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 "CTPP_A302103_5YR_2016" 4 3
"Amador" "San Luis Obispo" 2016 25 10 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 40 3
"Amador" "Nevada" 2016 50 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 29 3
"Amador" "Tuolumne" 2016 50 45 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 55 3
"Amador" "Yuba" 2016 20 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 58 3
"Amador" "Los Angeles" 2016 65 65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 19 3
"Amador" "Solano" 2016 35 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 48 3
"Amador" "San Diego" 2016 20 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 37 3
